cgdppc,countrycode,rgdpnapc
12866,AZE,16327
16176,AZE,16176
16407,AZE,16359
15841,AZE,17133
16025,AZE,17439
16045,AZE,17460
15296,AZE,16645
790,BDI,536
821,BDI,556
832,BDI,564
851,BDI,577
882,BDI,598
894,BDI,606
912,BDI,618
931,BDI,631
940,BDI,637
977,BDI,662
973,BDI,660
834,BDI,554
903,BDI,590
899,BDI,605
881,BDI,625
882,BDI,632
888,BDI,644
935,BDI,686
919,BDI,665
865,BDI,645
1067,BDI,803
1078,BDI,812
996,BDI,778
1070,BDI,829
1045,BDI,812
1013,BDI,795
1121,BDI,860
1284,BDI,917
1241,BDI,938
1225,BDI,910
1157,BDI,856
1199,BDI,912
1173,BDI,887
1180,BDI,891
1173,BDI,870
1250,BDI,951
1298,BDI,969
1267,BDI,985
1346,BDI,1007
1270,BDI,999
1313,BDI,1011
1352,BDI,1039
1276,BDI,1026
1220,BDI,983
1293,BDI,971
1141,BDI,862
1011,BDI,765
980,BDI,746
1050,BDI,757
1025,BDI,727
962,BDI,700
959,BDI,695
967,BDI,705
998,BDI,676
1025,BDI,685
1006,BDI,671
936,BDI,686
868,BDI,687
843,BDI,698
774,BDI,702
743,BDI,714
719,BDI,719
729,BDI,727
763,BDI,738
779,BDI,748
723,BDI,694
692,BDI,665
1050,BEL,1050
,BEL,
1836,BEL,2407
1892,BEL,2480
1989,BEL,2607
1809,BEL,2371
1720,BEL,2255
1703,BEL,2233
1851,BEL,2426
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
,BEL,
2120,BEL,2779
2205,BEL,2890
2195,BEL,2877
2241,BEL,2937
2311,BEL,3029
2360,BEL,3093
2407,BEL,3156
2455,BEL,3218
2590,BEL,3395
2591,BEL,3397
2715,BEL,3559
2767,BEL,3628
2768,BEL,3628
2750,BEL,3605
2869,BEL,3761
2891,BEL,3790
2946,BEL,3861
3008,BEL,3943
3086,BEL,4045
3064,BEL,4016
3132,BEL,4105
3125,BEL,4097
3215,BEL,4215
3332,BEL,4368
3368,BEL,4415
3357,BEL,4400
3534,BEL,4632
3564,BEL,4626
3687,BEL,4740
3685,BEL,4693
3738,BEL,4716
3787,BEL,4732
3899,BEL,4827
3938,BEL,4831
4136,BEL,5028
4180,BEL,5036
4309,BEL,5144
4359,BEL,5158
4386,BEL,5145
4427,BEL,5147
4487,BEL,5173
4665,BEL,5331
4700,BEL,5327
4932,BEL,5542
5046,BEL,5623
5040,BEL,5570
5151,BEL,5646
5214,BEL,5668
5276,BEL,5689
5385,BEL,5760
5489,BEL,5826
5587,BEL,5883
5676,BEL,5930
5786,BEL,5998
5950,BEL,6121
5977,BEL,6101
6055,BEL,6134
6155,BEL,6188
6281,BEL,6268
6428,BEL,6368
6535,BEL,6426
6608,BEL,6450
6657,BEL,6451
6771,BEL,6514
6979,BEL,6666
6986,BEL,6805
6944,BEL,6900
6825,BEL,6922
6215,BEL,6436
5983,BEL,6329
6192,BEL,6694
5223,BEL,5773
4152,BEL,4694
4805,BEL,5560
5485,BEL,6499
5480,BEL,6654
5816,BEL,7240
5823,BEL,7436
5803,BEL,7608
5682,BEL,7654
5667,BEL,7847
5668,BEL,8076
5746,BEL,8431
5482,BEL,8291
5446,BEL,8167
5361,BEL,7973
5124,BEL,7558
5248,BEL,7678
5227,BEL,7585
5578,BEL,8029
5644,BEL,8060
5745,BEL,8138
5640,BEL,7927
6057,BEL,8448
5408,BEL,7483
5206,BEL,7149
4811,BEL,6556
4738,BEL,6409
5025,BEL,6746
5335,BEL,7108
5673,BEL,7503
5998,BEL,7875
6324,BEL,8241
6585,BEL,8519
6975,BEL,8960
7338,BEL,9427
7388,BEL,9298
7701,BEL,9544
8027,BEL,9890
8453,BEL,10302
8690,BEL,10536
8799,BEL,10654
8844,BEL,10567
9104,BEL,10840
9113,BEL,11404
9635,BEL,11898
10445,BEL,12440
10917,BEL,12898
11672,BEL,13682
12048,BEL,14041
12548,BEL,14396
13142,BEL,14882
13747,BEL,15446
14763,BEL,16434
15724,BEL,17406
16337,BEL,17995
17359,BEL,18869
18446,BEL,19964
18728,BEL,20740
18421,BEL,20408
19691,BEL,21526
19867,BEL,21637
20396,BEL,22234
21042,BEL,22737
22057,BEL,23733
20536,BEL,23423
20060,BEL,23744
19497,BEL,23743
19417,BEL,24332
18703,BEL,24569
19640,BEL,24927
20574,BEL,25494
22312,BEL,26660
23118,BEL,27467
23658,BEL,28210
24295,BEL,28621
25562,BEL,28941
25349,BEL,28551
26373,BEL,29382
27199,BEL,30020
26748,BEL,30439
28630,BEL,31492
29919,BEL,32045
31291,BEL,33111
33427,BEL,34231
33294,BEL,34391
34649,BEL,34846
34312,BEL,34969
34665,BEL,36084
35284,BEL,36638
35065,BEL,37306
35943,BEL,38292
36634,BEL,38274
37260,BEL,37100
